Comunidades y ciudades autónomas de residencia,Sexo,Medio empleado,Total
"Asturias, Principado de",Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Asturias, Principado de",Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Asturias, Principado de",Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,5.0
"Asturias, Principado de",Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Asturias, Principado de",Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,42.0
"Asturias, Principado de",Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,8.0
"Asturias, Principado de",Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Asturias, Principado de",Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Asturias, Principado de",Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
"Asturias, Principado de",Hombres,Total,91.0
"Asturias, Principado de",Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Asturias, Principado de",Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",7.0
"Asturias, Principado de",Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",3.0
"Asturias, Principado de",Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Asturias, Principado de",Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",2.0
"Asturias, Principado de",Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Asturias, Principado de",Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
"Asturias, Principado de",Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
"Asturias, Principado de",Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Asturias, Principado de",Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
"Asturias, Principado de",Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",35.0
"Asturias, Principado de",Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,4.0
"Asturias, Principado de",Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
"Asturias, Principado de",Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",4.0
"Asturias, Principado de",Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Asturias, Principado de",Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Asturias, Principado de",Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Asturias, Principado de",Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Asturias, Principado de",Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,4.0
"Asturias, Principado de",Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Asturias, Principado de",Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,23.0
"Asturias, Principado de",Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,5.0
"Asturias, Principado de",Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Asturias, Principado de",Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Asturias, Principado de",Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
"Asturias, Principado de",Mujeres,Total,35.0
"Asturias, Principado de",Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Asturias, Principado de",Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",4.0
"Asturias, Principado de",Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
"Asturias, Principado de",Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Asturias, Principado de",Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
"Asturias, Principado de",Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Asturias, Principado de",Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,1.0
"Asturias, Principado de",Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
"Asturias, Principado de",Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Asturias, Principado de",Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
"Asturias, Principado de",Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",4.0
"Asturias, Principado de",Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,3.0
"Asturias, Principado de",Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
"Asturias, Principado de",Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
"Asturias, Principado de",Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Asturias, Principado de",Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Asturias, Principado de",Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Asturias, Principado de",Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Asturias, Principado de",Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
"Asturias, Principado de",Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Asturias, Principado de",Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,19.0
"Asturias, Principado de",Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,3.0
"Asturias, Principado de",Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Asturias, Principado de",Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Asturias, Principado de",Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Balears, Illes",Ambos sexos,Total,109.0
"Balears, Illes",Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Balears, Illes",Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",6.0
"Balears, Illes",Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
"Balears, Illes",Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Balears, Illes",Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",5.0
"Balears, Illes",Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Balears, Illes",Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,2.0
"Balears, Illes",Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
"Balears, Illes",Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Balears, Illes",Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",4.0
"Balears, Illes",Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",50.0
"Balears, Illes",Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,3.0
"Balears, Illes",Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,5.0
"Balears, Illes",Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",3.0
"Balears, Illes",Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Balears, Illes",Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Balears, Illes",Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Balears, Illes",Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Balears, Illes",Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,5.0
"Balears, Illes",Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Balears, Illes",Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,23.0
"Balears, Illes",Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
"Balears, Illes",Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Balears, Illes",Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
"Balears, Illes",Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Balears, Illes",Hombres,Total,75.0
"Balears, Illes",Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Balears, Illes",Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",1.0
"Balears, Illes",Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
"Balears, Illes",Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Balears, Illes",Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",3.0
"Balears, Illes",Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Balears, Illes",Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,2.0
"Balears, Illes",Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
"Balears, Illes",Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Balears, Illes",Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",3.0
"Balears, Illes",Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",39.0
"Balears, Illes",Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
"Balears, Illes",Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,5.0
"Balears, Illes",Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",3.0
"Balears, Illes",Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Balears, Illes",Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Balears, Illes",Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Balears, Illes",Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Balears, Illes",Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,3.0
"Balears, Illes",Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Balears, Illes",Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,13.0
"Balears, Illes",Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
"Balears, Illes",Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Balears, Illes",Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
"Balears, Illes",Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Balears, Illes",Mujeres,Total,34.0
"Balears, Illes",Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
